week,eligible_bundles,total_segments_in_eligible_bundles,segments_with_potholes,segments_fixed,segments_unfixed,pct_fixed,pct_unfixed,has_variation,issue
2023-10-14,33,148,3,1,2,0.3333333333333333,0.6666666666666666,True,good_variation
2023-10-21,52,251,7,4,3,0.5714285714285714,0.42857142857142855,True,good_variation
2023-10-28,45,221,4,3,1,0.75,0.25,True,good_variation
2023-11-04,35,159,3,1,2,0.3333333333333333,0.6666666666666666,True,good_variation
2023-11-11,35,183,5,5,0,1.0,0.0,False,all_fixed
2023-11-18,53,246,4,1,3,0.25,0.75,True,good_variation
2023-11-25,34,176,4,1,3,0.25,0.75,True,good_variation
2023-12-02,41,199,4,1,3,0.25,0.75,True,good_variation
2023-12-09,36,183,1,1,0,1.0,0.0,False,all_fixed
2023-12-16,27,152,3,0,3,0.0,1.0,False,all_unfixed
2023-12-23,39,191,1,0,1,0.0,1.0,False,all_unfixed
2023-12-30,34,165,4,3,1,0.75,0.25,True,good_variation
2024-01-06,45,241,6,1,5,0.16666666666666666,0.8333333333333334,True,good_variation
2024-01-13,62,301,7,4,3,0.5714285714285714,0.42857142857142855,True,good_variation
2024-01-20,54,274,17,2,15,0.11764705882352941,0.8823529411764706,True,good_variation
2024-01-27,89,437,18,8,10,0.4444444444444444,0.5555555555555556,True,good_variation
2024-02-03,80,371,23,5,18,0.21739130434782608,0.782608695652174,True,good_variation
2024-02-10,100,500,30,18,12,0.6,0.4,True,good_variation
2024-02-17,96,475,22,9,13,0.4090909090909091,0.5909090909090909,True,good_variation
2024-02-24,91,460,13,13,0,1.0,0.0,False,all_fixed
2024-03-02,71,324,15,10,5,0.6666666666666666,0.3333333333333333,True,good_variation
2024-03-09,85,412,14,2,12,0.14285714285714285,0.8571428571428571,True,good_variation
2024-03-16,68,303,10,3,7,0.3,0.7,True,good_variation
2024-03-23,68,306,8,2,6,0.25,0.75,True,good_variation
2024-03-30,66,313,21,9,12,0.42857142857142855,0.5714285714285714,True,good_variation
2024-04-06,100,496,17,7,10,0.4117647058823529,0.5882352941176471,True,good_variation
2024-04-13,92,413,11,8,3,0.7272727272727273,0.2727272727272727,True,good_variation
2024-04-20,62,308,5,0,5,0.0,1.0,False,all_unfixed
2024-04-27,63,278,17,8,9,0.47058823529411764,0.5294117647058824,True,good_variation
2024-05-04,74,388,9,3,6,0.3333333333333333,0.6666666666666666,True,good_variation
2024-05-11,62,303,5,0,5,0.0,1.0,False,all_unfixed
2024-05-18,47,225,7,6,1,0.8571428571428571,0.14285714285714285,True,good_variation
2024-05-25,60,297,11,0,11,0.0,1.0,False,all_unfixed
2024-06-01,45,238,6,1,5,0.16666666666666666,0.8333333333333334,True,good_variation
2024-06-08,53,254,10,3,7,0.3,0.7,True,good_variation
2024-06-15,51,248,7,6,1,0.8571428571428571,0.14285714285714285,True,good_variation
2024-06-22,32,154,4,3,1,0.75,0.25,True,good_variation
2024-06-29,42,206,6,3,3,0.5,0.5,True,good_variation
2024-07-06,24,124,3,2,1,0.6666666666666666,0.3333333333333333,True,good_variation
2024-07-13,57,276,5,0,5,0.0,1.0,False,all_unfixed
2024-07-20,48,220,10,3,7,0.3,0.7,True,good_variation
2024-07-27,38,185,4,0,4,0.0,1.0,False,all_unfixed
2024-08-03,41,185,2,0,2,0.0,1.0,False,all_unfixed
2024-08-10,34,156,3,1,2,0.3333333333333333,0.6666666666666666,True,good_variation
2024-08-17,35,179,3,2,1,0.6666666666666666,0.3333333333333333,True,good_variation
2024-08-24,44,225,5,2,3,0.4,0.6,True,good_variation
2024-08-31,45,215,10,2,8,0.2,0.8,True,good_variation
2024-09-07,38,182,4,2,2,0.5,0.5,True,good_variation
2024-09-14,35,159,3,0,3,0.0,1.0,False,all_unfixed
2024-09-21,51,244,8,5,3,0.625,0.375,True,good_variation
2024-09-28,44,208,6,3,3,0.5,0.5,True,good_variation
2024-10-05,43,236,8,7,1,0.875,0.125,True,good_variation
2024-10-12,53,237,14,11,3,0.7857142857142857,0.21428571428571427,True,good_variation
2024-10-19,58,302,17,7,10,0.4117647058823529,0.5882352941176471,True,good_variation
2024-10-26,41,202,13,8,5,0.6153846153846154,0.38461538461538464,True,good_variation
2024-11-02,57,269,4,3,1,0.75,0.25,True,good_variation
2024-11-09,43,181,3,2,1,0.6666666666666666,0.3333333333333333,True,good_variation
2024-11-16,51,235,6,1,5,0.16666666666666666,0.8333333333333334,True,good_variation
2024-11-23,42,194,2,1,1,0.5,0.5,True,good_variation
2024-11-30,29,127,0,0,0,,,False,no_potholes
2024-12-07,38,162,5,1,4,0.2,0.8,True,good_variation
2024-12-14,50,243,8,5,3,0.625,0.375,True,good_variation
2024-12-21,36,175,8,2,6,0.25,0.75,True,good_variation
2024-12-28,33,155,2,1,1,0.5,0.5,True,good_variation
2025-01-04,38,179,5,2,3,0.4,0.6,True,good_variation
2025-01-11,43,219,8,4,4,0.5,0.5,True,good_variation
2025-01-18,49,235,3,0,3,0.0,1.0,False,all_unfixed
2025-01-25,27,135,3,1,2,0.3333333333333333,0.6666666666666666,True,good_variation
2025-02-01,47,240,8,2,6,0.25,0.75,True,good_variation
2025-02-08,40,194,5,0,5,0.0,1.0,False,all_unfixed
2025-02-15,64,268,9,0,9,0.0,1.0,False,all_unfixed
2025-02-22,75,343,8,0,8,0.0,1.0,False,all_unfixed
2025-03-01,51,260,14,0,14,0.0,1.0,False,all_unfixed
2025-03-08,60,299,14,0,14,0.0,1.0,False,all_unfixed
2025-03-15,89,442,35,1,34,0.02857142857142857,0.9714285714285714,True,good_variation
2025-03-22,136,703,49,5,44,0.10204081632653061,0.8979591836734694,True,good_variation
2025-03-29,109,570,31,3,28,0.0967741935483871,0.9032258064516129,True,good_variation
2025-04-05,84,399,22,4,18,0.18181818181818182,0.8181818181818182,True,good_variation
2025-04-12,85,388,18,6,12,0.3333333333333333,0.6666666666666666,True,good_variation
2025-04-19,71,382,12,2,10,0.16666666666666666,0.8333333333333334,True,good_variation
2025-04-26,66,341,12,8,4,0.6666666666666666,0.3333333333333333,True,good_variation
2025-05-03,61,293,6,4,2,0.6666666666666666,0.3333333333333333,True,good_variation
2025-05-10,61,302,6,3,3,0.5,0.5,True,good_variation
2025-05-17,53,237,3,1,2,0.3333333333333333,0.6666666666666666,True,good_variation
2025-05-24,42,189,4,1,3,0.25,0.75,True,good_variation
2025-05-31,42,206,4,0,4,0.0,1.0,False,all_unfixed
2025-06-07,42,219,14,8,6,0.5714285714285714,0.42857142857142855,True,good_variation
2025-06-14,37,182,2,2,0,1.0,0.0,False,all_fixed
2025-06-21,37,189,3,2,1,0.6666666666666666,0.3333333333333333,True,good_variation
2025-06-28,33,152,10,3,7,0.3,0.7,True,good_variation
2025-07-05,34,187,1,1,0,1.0,0.0,False,all_fixed
2025-07-12,32,147,5,1,4,0.2,0.8,True,good_variation
2025-07-19,44,212,4,2,2,0.5,0.5,True,good_variation
2025-07-26,33,151,2,2,0,1.0,0.0,False,all_fixed
2025-08-02,38,181,3,3,0,1.0,0.0,False,all_fixed
2025-08-09,37,191,4,4,0,1.0,0.0,False,all_fixed
2025-08-16,51,245,15,11,4,0.7333333333333333,0.26666666666666666,True,good_variation
2025-08-23,60,309,14,9,5,0.6428571428571429,0.35714285714285715,True,good_variation
2025-08-30,42,214,9,2,7,0.2222222222222222,0.7777777777777778,True,good_variation
2025-09-06,35,167,4,4,0,1.0,0.0,False,all_fixed
2025-09-13,38,205,10,3,7,0.3,0.7,True,good_variation
2025-09-20,34,170,10,6,4,0.6,0.4,True,good_variation
2025-09-27,39,192,9,4,5,0.4444444444444444,0.5555555555555556,True,good_variation
2025-10-04,42,203,8,7,1,0.875,0.125,True,good_variation
2025-10-11,35,158,5,5,0,1.0,0.0,False,all_fixed
2025-10-18,48,240,6,6,0,1.0,0.0,False,all_fixed
2025-10-25,58,259,6,4,2,0.6666666666666666,0.3333333333333333,True,good_variation
2025-11-01,49,233,7,2,5,0.2857142857142857,0.7142857142857143,True,good_variation
2025-11-08,46,214,5,3,2,0.6,0.4,True,good_variation
2025-11-15,37,190,3,0,3,0.0,1.0,False,all_unfixed
2025-11-22,75,387,15,5,10,0.3333333333333333,0.6666666666666666,True,good_variation
2025-11-29,69,332,16,6,10,0.375,0.625,True,good_variation
2025-12-06,47,226,10,2,8,0.2,0.8,True,good_variation
2025-12-13,43,215,7,2,5,0.2857142857142857,0.7142857142857143,True,good_variation
2025-12-20,48,244,5,0,5,0.0,1.0,False,all_unfixed
2025-12-27,48,227,6,1,5,0.16666666666666666,0.8333333333333334,True,good_variation
