bundle_id,week_start,total_potholes,unfixed,unfixed_rate,is_dh
86.0,2022-12-10,1,1,1.0,False
86.0,2022-12-17,1,1,1.0,False
86.0,2023-01-07,1,1,1.0,False
86.0,2023-01-14,2,2,1.0,False
86.0,2023-02-25,1,0,0.0,False
86.0,2023-03-18,1,1,1.0,False
86.0,2023-04-29,1,1,1.0,False
86.0,2023-09-30,1,1,1.0,False
86.0,2023-12-30,2,0,0.0,False
86.0,2024-01-20,1,1,1.0,False
86.0,2024-02-03,1,1,1.0,False
86.0,2024-06-22,1,0,0.0,False
86.0,2024-06-29,1,1,1.0,False
86.0,2024-07-13,1,1,1.0,False
86.0,2024-07-27,1,1,1.0,False
86.0,2024-09-14,1,1,1.0,False
86.0,2024-09-28,1,0,0.0,False
86.0,2024-10-19,1,1,1.0,False
86.0,2024-10-26,1,0,0.0,False
86.0,2024-11-02,1,0,0.0,False
86.0,2025-02-08,2,2,1.0,False
86.0,2025-02-15,1,1,1.0,False
86.0,2025-03-08,1,1,1.0,False
86.0,2025-03-15,3,3,1.0,False
86.0,2025-03-22,1,0,0.0,False
86.0,2025-05-10,1,0,0.0,False
86.0,2025-08-02,2,0,0.0,False
86.0,2025-09-13,1,0,0.0,False
86.0,2025-09-20,1,1,1.0,False
86.0,2025-09-27,1,0,0.0,False
86.0,2025-10-18,1,0,0.0,False
86.0,2025-11-01,2,0,0.0,False
96.0,2021-03-27,1,1,1.0,False
96.0,2021-04-10,1,1,1.0,False
96.0,2022-07-02,1,1,1.0,False
96.0,2022-07-09,1,1,1.0,False
96.0,2023-01-14,1,1,1.0,False
96.0,2023-03-04,1,1,1.0,False
96.0,2023-07-15,1,0,0.0,False
96.0,2024-09-21,1,1,1.0,False
96.0,2025-02-01,1,0,0.0,False
96.0,2025-03-15,1,1,1.0,False
96.0,2025-04-05,1,1,1.0,False
96.0,2025-04-26,1,0,0.0,False
100.0,2021-12-04,1,1,1.0,False
100.0,2022-06-04,1,0,0.0,False
100.0,2023-11-25,1,1,1.0,False
100.0,2024-02-10,1,0,0.0,False
100.0,2025-07-05,1,0,0.0,False
101.0,2021-05-22,1,1,1.0,False
101.0,2021-09-04,1,1,1.0,False
101.0,2022-03-05,1,1,1.0,False
101.0,2022-06-04,1,0,0.0,False
101.0,2023-03-11,1,1,1.0,False
101.0,2023-03-25,1,1,1.0,False
101.0,2023-09-23,1,1,1.0,False
101.0,2023-09-30,1,1,1.0,False
101.0,2023-10-21,1,0,0.0,False
101.0,2024-03-09,1,1,1.0,False
101.0,2025-01-25,1,0,0.0,False
101.0,2025-03-15,1,1,1.0,False
101.0,2025-08-30,1,1,1.0,False
102.0,2021-02-13,1,1,1.0,False
102.0,2021-06-12,1,1,1.0,False
102.0,2021-11-27,2,2,1.0,False
102.0,2022-03-05,1,1,1.0,False
102.0,2022-12-10,1,1,1.0,False
102.0,2023-01-21,1,0,0.0,False
102.0,2023-01-28,1,1,1.0,False
102.0,2023-03-18,1,1,1.0,False
102.0,2023-06-24,1,0,0.0,False
102.0,2024-01-27,1,1,1.0,False
102.0,2024-03-09,1,0,0.0,False
102.0,2025-01-11,1,0,0.0,False
102.0,2025-04-05,1,1,1.0,False
102.0,2025-04-26,1,1,1.0,False
110.0,2022-08-27,1,1,1.0,False
110.0,2025-08-09,1,0,0.0,False
114.0,2021-08-14,1,1,1.0,False
114.0,2021-12-25,1,1,1.0,False
114.0,2022-01-01,1,1,1.0,False
114.0,2022-01-22,1,1,1.0,False
114.0,2022-07-30,1,1,1.0,False
114.0,2022-08-06,1,0,0.0,False
114.0,2023-01-21,1,1,1.0,False
114.0,2023-03-18,2,2,1.0,False
114.0,2023-06-03,1,1,1.0,False
114.0,2023-08-19,1,1,1.0,False
114.0,2023-10-21,1,0,0.0,False
114.0,2024-04-06,1,0,0.0,False
114.0,2024-11-02,1,0,0.0,False
114.0,2024-11-09,1,1,1.0,False
114.0,2024-12-28,1,1,1.0,False
114.0,2025-11-15,1,0,0.0,False
114.0,2025-12-27,1,0,0.0,False
130.0,2022-12-31,1,1,1.0,False
130.0,2025-10-18,1,1,1.0,False
138.0,2021-06-19,1,1,1.0,False
138.0,2022-03-26,1,1,1.0,False
138.0,2023-01-28,1,0,0.0,False
138.0,2023-02-18,1,0,0.0,False
138.0,2023-02-25,1,1,1.0,False
138.0,2023-03-25,1,1,1.0,False
138.0,2024-10-26,1,1,1.0,False
138.0,2025-01-25,1,1,1.0,False
154.0,2023-10-28,1,0,0.0,False
167.0,2022-04-09,1,1,1.0,False
167.0,2022-08-06,1,1,1.0,False
167.0,2023-01-21,1,0,0.0,False
167.0,2023-03-04,1,0,0.0,False
167.0,2023-03-25,1,1,1.0,False
167.0,2023-07-08,1,0,0.0,False
167.0,2023-09-09,1,1,1.0,False
167.0,2023-12-16,1,1,1.0,False
167.0,2024-02-03,1,1,1.0,False
167.0,2024-07-27,1,0,0.0,False
176.0,2021-06-19,1,1,1.0,False
176.0,2021-11-27,1,1,1.0,False
176.0,2022-03-12,1,1,1.0,False
176.0,2022-10-29,1,1,1.0,False
176.0,2023-03-11,1,1,1.0,False
176.0,2023-04-29,1,1,1.0,False
176.0,2024-04-06,2,0,0.0,False
176.0,2024-11-09,1,1,1.0,False
176.0,2024-11-30,1,1,1.0,False
190.0,2021-05-22,1,1,1.0,False
190.0,2023-01-21,1,1,1.0,False
190.0,2024-02-24,1,0,0.0,False
190.0,2024-05-11,1,0,0.0,False
190.0,2024-08-31,1,0,0.0,False
190.0,2024-09-14,1,1,1.0,False
190.0,2024-09-28,1,1,1.0,False
190.0,2024-10-05,1,0,0.0,False
190.0,2025-04-26,1,1,1.0,False
191.0,2023-02-25,1,0,0.0,False
192.0,2021-02-27,1,1,1.0,False
192.0,2021-11-27,1,1,1.0,False
192.0,2021-12-25,2,0,0.0,False
192.0,2022-04-09,1,1,1.0,False
192.0,2022-10-29,1,1,1.0,False
192.0,2022-11-19,2,2,1.0,False
192.0,2022-12-10,1,1,1.0,False
192.0,2023-01-14,1,1,1.0,False
192.0,2023-01-28,1,1,1.0,False
192.0,2023-03-11,1,1,1.0,False
192.0,2023-04-08,1,0,0.0,False
192.0,2023-05-20,1,1,1.0,False
192.0,2023-10-28,1,0,0.0,False
192.0,2023-11-11,1,1,1.0,False
192.0,2023-12-30,2,1,0.5,False
192.0,2024-01-13,1,1,1.0,False
192.0,2024-01-20,2,2,1.0,False
192.0,2024-03-30,1,0,0.0,False
192.0,2024-04-06,1,1,1.0,False
192.0,2024-04-20,1,1,1.0,False
192.0,2024-07-13,1,1,1.0,False
192.0,2024-09-14,1,1,1.0,False
192.0,2024-10-05,1,1,1.0,False
192.0,2024-10-19,2,2,1.0,False
192.0,2025-02-08,1,1,1.0,False
192.0,2025-02-22,1,1,1.0,False
192.0,2025-04-19,1,0,0.0,False
192.0,2025-05-10,1,1,1.0,False
192.0,2025-08-30,2,2,1.0,False
192.0,2025-09-27,1,0,0.0,False
192.0,2025-11-15,2,2,1.0,False
192.0,2025-11-29,1,0,0.0,False
194.0,2022-09-10,1,1,1.0,False
194.0,2024-02-17,1,1,1.0,False
195.0,2025-07-19,1,0,0.0,False
196.0,2024-08-31,1,1,1.0,False
201.0,2022-01-29,1,1,1.0,False
201.0,2022-05-21,1,0,0.0,False
201.0,2023-10-07,1,0,0.0,False
201.0,2024-01-06,1,1,1.0,False
201.0,2024-01-20,1,1,1.0,False
201.0,2024-03-30,1,0,0.0,False
208.0,2021-11-27,1,1,1.0,False
208.0,2022-11-26,1,1,1.0,False
208.0,2024-02-24,1,1,1.0,False
208.0,2024-04-06,1,0,0.0,False
208.0,2024-08-31,1,1,1.0,False
213.0,2021-06-05,1,1,1.0,False
213.0,2021-08-28,1,1,1.0,False
213.0,2022-07-09,1,1,1.0,False
213.0,2024-03-30,1,0,0.0,False
213.0,2024-05-11,1,1,1.0,False
213.0,2024-11-23,1,1,1.0,False
213.0,2025-05-10,1,0,0.0,False
225.0,2025-05-17,1,0,0.0,False
245.0,2021-09-11,2,1,0.5,False
245.0,2023-04-01,1,1,1.0,False
247.0,2024-02-24,1,0,0.0,False
247.0,2024-12-21,1,1,1.0,False
250.0,2021-10-23,1,0,0.0,False
250.0,2022-05-14,1,0,0.0,False
250.0,2024-04-06,1,1,1.0,False
257.0,2021-12-11,1,1,1.0,False
257.0,2024-02-17,1,1,1.0,False
257.0,2025-09-13,1,0,0.0,False
262.0,2021-01-02,1,1,1.0,False
262.0,2021-02-20,1,1,1.0,False
262.0,2021-04-03,1,1,1.0,False
262.0,2021-12-04,1,1,1.0,False
262.0,2022-01-08,1,1,1.0,False
262.0,2022-03-12,1,1,1.0,False
262.0,2022-03-26,1,1,1.0,False
262.0,2022-06-11,1,1,1.0,False
262.0,2022-07-16,1,0,0.0,False
262.0,2022-10-01,1,1,1.0,False
262.0,2022-12-03,1,1,1.0,False
262.0,2023-02-04,1,1,1.0,False
262.0,2023-02-25,1,1,1.0,False
262.0,2023-12-16,1,1,1.0,False
262.0,2024-02-24,1,0,0.0,False
262.0,2024-03-23,1,1,1.0,False
262.0,2024-04-13,1,0,0.0,False
262.0,2024-06-01,1,0,0.0,False
262.0,2024-08-03,1,0,0.0,False
262.0,2024-09-14,2,2,1.0,False
262.0,2024-10-05,1,1,1.0,False
262.0,2024-10-26,1,1,1.0,False
262.0,2024-12-14,1,0,0.0,False
262.0,2024-12-28,1,1,1.0,False
262.0,2025-01-25,2,0,0.0,False
262.0,2025-02-15,1,1,1.0,False
262.0,2025-04-05,1,1,1.0,False
262.0,2025-05-31,1,0,0.0,False
262.0,2025-08-09,1,0,0.0,False
262.0,2025-08-23,1,0,0.0,False
262.0,2025-11-08,1,0,0.0,False
262.0,2025-11-15,1,1,1.0,False
