bundle_id,total_length_m,total_addresses,n_segments,total_length_km
5107.0,2721.659380547709,81.0,16,2.721659380547709
5124.0,2087.0854587711797,88.0,10,2.08708545877118
5126.0,1528.5376593139106,80.0,16,1.5285376593139106
5140.0,1539.4121325955587,82.0,7,1.5394121325955588
5151.0,1598.4890609428628,87.0,12,1.5984890609428628
5178.0,1920.5239383801222,80.0,12,1.9205239383801223
5192.0,1594.6061977046118,74.0,7,1.5946061977046118
5203.0,1917.758640107628,85.0,15,1.917758640107628
5204.0,1767.6662660028178,84.0,11,1.7676662660028177
5214.0,2529.856976002936,80.0,13,2.529856976002936
5222.0,1991.1627387669237,87.0,11,1.9911627387669237
5231.0,2481.0214119798566,81.0,11,2.4810214119798566
5246.0,1761.6761034205215,83.0,9,1.7616761034205215
5272.0,1926.105871353537,85.0,11,1.9261058713535368
5335.0,1730.839960565666,83.0,15,1.730839960565666
5366.0,1613.6754011437674,86.0,15,1.6136754011437675
5384.0,1854.3991673417052,87.0,18,1.854399167341705
5423.0,2304.205079642616,83.0,8,2.304205079642616
5453.0,1780.0669150101799,86.0,19,1.7800669150101798
5467.0,1656.6641444132842,88.0,12,1.6566641444132844
5474.0,1597.761724437237,85.0,12,1.597761724437237
5491.0,1934.3275339351053,85.0,5,1.9343275339351054
5503.0,1566.213656880723,80.0,7,1.566213656880723
5508.0,1512.0045428690444,79.0,12,1.5120045428690443
5512.0,1666.4957079799046,80.0,6,1.6664957079799045
5546.0,1502.1081886640056,80.0,9,1.5021081886640055
5552.0,1931.386052787726,82.0,2,1.931386052787726
5555.0,1616.6086270951414,86.0,18,1.6166086270951414
5573.0,1614.620589967822,88.0,14,1.614620589967822
5598.0,1509.365124027708,82.0,11,1.509365124027708
5602.0,1566.9111600357207,81.0,17,1.5669111600357208
5624.0,1847.99275459764,78.0,9,1.84799275459764
5634.0,1667.60097064807,85.0,7,1.66760097064807
5649.0,1661.8136130021608,82.0,10,1.6618136130021608
5650.0,2769.652912885848,83.0,9,2.769652912885848
5664.0,1536.877887350289,86.0,10,1.536877887350289
5687.0,2503.9151216419264,81.0,9,2.5039151216419264
5733.0,1551.2874430196678,74.0,10,1.5512874430196677
5750.0,1572.1919798453005,72.0,8,1.5721919798453006
5777.0,2079.564770353677,84.0,4,2.079564770353677
5806.0,1693.5019932686846,88.0,11,1.6935019932686846
5835.0,2331.023848896294,87.0,9,2.331023848896294
5852.0,1564.231395645167,80.0,6,1.564231395645167
5923.0,1644.636842484673,82.0,4,1.6446368424846731
5928.0,1737.8641043142998,88.0,9,1.7378641043142997
5932.0,1550.1222382485514,80.0,9,1.5501222382485513
5940.0,1667.0208812072865,83.0,8,1.6670208812072864
5977.0,1954.2914432717798,83.0,14,1.9542914432717797
5978.0,1873.6831165055496,75.0,9,1.8736831165055496
5982.0,1707.6803983719506,86.0,11,1.7076803983719506
5983.0,1607.7514992976646,80.0,11,1.6077514992976647
5984.0,1601.1058776423563,81.0,14,1.6011058776423563
5989.0,1663.496210464212,83.0,12,1.663496210464212
5991.0,1608.2509078132025,80.0,11,1.6082509078132026
5993.0,1614.756928826033,81.0,10,1.6147569288260328
5998.0,1571.342567347599,74.0,9,1.571342567347599
6001.0,2192.87031869041,80.0,14,2.1928703186904097
6004.0,1824.363432704892,82.0,11,1.8243634327048919
6019.0,1918.972242749497,77.0,4,1.9189722427494968
