iamfloc,bundle_id,seg_length_m,segment_length_km,sfh_addr_count
SS-019661-PV1,5797.0,212.98199926645387,0.21298199926645386,20.0
SS-005344-PV1,5241.0,59.22290578554407,0.059222905785544074,3.0
SS-001732-PV1,1440.0,82.27719753099647,0.08227719753099648,3.0
SS-009070-PV1,1555.0,176.17370867056044,0.17617370867056045,14.0
SS-008432-PV1,5968.0,112.49921330831671,0.1124992133083167,13.0
SS-031114-PV1,1564.0,67.65516345082008,0.06765516345082008,7.0
SS-030699-PV1,1572.0,397.7800993375447,0.3977800993375447,40.0
SS-024175-PV1,190.0,92.69578962118612,0.09269578962118612,2.0
SS-006928-PV1,3409.0,230.30600606685874,0.23030600606685875,22.0
SS-005577-PV1,5785.0,85.43043711825231,0.08543043711825231,3.0
SS-024859-PV1,5251.0,116.11054349531427,0.11611054349531427,10.0
SS-014882-PV1,1270.0,201.28524472713653,0.20128524472713652,16.0
SS-015326-PV1,339.0,119.6189158803557,0.1196189158803557,15.0
SS-009569-PV1,5906.0,67.33381312076152,0.06733381312076152,3.0
SS-011435-PV1,368.0,181.65298027131456,0.18165298027131457,4.0
SS-024165-PV1,5905.0,81.22946444706336,0.08122946444706336,2.0
SS-025627-PV1,145.0,93.97639464627778,0.09397639464627779,13.0
SS-031101-PV1,5520.0,68.86657888670828,0.06886657888670829,6.0
SS-019560-PV1,1014.0,115.79165455138926,0.11579165455138926,9.0
SS-017489-PV1,5468.0,149.5960627854628,0.1495960627854628,10.0
SS-029488-PV1,1500.0,111.51423685423379,0.11151423685423378,4.0
SS-010756-PV1,1805.0,157.89561169987581,0.15789561169987582,11.0
SS-013479-PV1,3466.0,274.6360972961968,0.2746360972961968,26.0
SS-009090-PV1,1655.0,80.90392133749518,0.08090392133749517,7.0
SS-014238-PV1,1189.0,89.8861724330512,0.0898861724330512,7.0
SS-019444-PV1,281.0,284.5209236497184,0.28452092364971837,24.0
SS-018301-PV1,3328.0,40.57724885537909,0.04057724885537909,2.0
SS-004892-PV1,1213.0,164.13884549791516,0.16413884549791516,9.0
SS-013833-PV1,3491.0,80.93025913568508,0.08093025913568508,6.0
SS-020666-PV1,1725.0,77.07179205858588,0.07707179205858589,2.0
SS-033888-PV1,5990.0,207.51743066589765,0.20751743066589765,21.0
SS-003501-PV1,3544.0,164.71158239309642,0.1647115823930964,11.0
SS-021975-PV1,3141.0,79.4093243830162,0.07940932438301619,4.0
SS-001207-PV1,1861.0,96.4222775596638,0.0964222775596638,2.0
SS-006583-PV1,3380.0,125.37913912911895,0.12537913912911897,14.0
SS-018620-PV1,1883.0,69.50183077357545,0.06950183077357545,5.0
SS-012113-PV1,5554.0,193.38668838592935,0.19338668838592935,15.0
SS-022379-PV1,1722.0,77.40368532410626,0.07740368532410627,9.0
SS-028926-PV1,5430.0,194.63795385050588,0.1946379538505059,24.0
